prediction;real
0.00456;0.259
0.04;0
-0.0012;0
0;-0.26
-0.04;0.05
0.04;0
-0.00232;0
0.00112;0
-0.00056;0.08
0.04;-0.11
-0.04;-0.02
-0.04;0
-0.00016;0
0.00272;0.06
0.04;0
-0.00248;0
-0.00296;0
-0.00104;0.06
0.04;0
-0.00104;0
0.00304;0
-0.00184;-0.06
-0.04;0
-0.04008;0
0.00728;-0.01
-0.00128;0.06
-0.04;0
0.03912;0
0.00616;0
0.00024;0
0.0016;0
-0.00216;0
0.00056;0
0.0008;0
0.0012;0
-0.00064;0
-0.00128;0
-0.00024;0
0.00032;0
0.00184;-0.015
-0.04;0.075
-0.04;0
0.00568;0
-0.00056;0
-0.00176;0
0.00272;0
8.000000000008e-05;0
-8.000000000008e-05;0
-0.00032;0
-0.0004;-0.15
-0.04;0
0.00512;0
0.00152;0
0.002;0
-0.0036;0
-0.0012;0
0.0016;0
0.00016;0
-0.00024;0
0;0
0.0012;0
0.00064;0
-0.00016;0.05
0.04;0
-0.00312;0
0.00024;0
0.0004;0
-0.00176;0
-0.00064;0
0.00088;0.14
0.04;-0.0456
-0.04;0
0.004;0
-0.0004;0
0.00048;0
0.00064;0
0.00128;0
-0.00128;0
0;0
-0.00096;0
-7.99999999996359e-05;-0.1444
-0.04;0.05
0.04;0
-0.00032;0
0.00112;0
-0.00336;0
-0.0012;0
-0.0004;0
0.0024;-0.08
-0.04;0
0.03984;0
0.00064;0
0.00208;0
0.00152;0
-0.0004;0
-0.00096;0
-0.04;-0.05
-0.07992;0
-0.0308;0
0.00456;0
0.00176;-0.02
-0.0024;0
0.00056;0
-0.00096;0.07
0.04;0.08
0;0.02
0.04;0
-0.00152;0
0.00472;0
0.00072;0
-0.00048;-0.02
-0.04;0
0.00472;0
0.00248;0
0.0008;0
0.00072;0.01
0.04;0
-0.0036;0.03
0.04;-0.09
0;0
-0.00144;0
-0.00024;0
0;0
-0.00016;0
-0.00104;0
0.00168;0
-0.00048;0
-0.00088;0
0.00112;0
0.00032;0
-0.00016;0
-0.00104;0
0.00024;0
-0.00064;0
0.00088;0
-0.00048;0
-0.00056;0
8.000000000008e-05;0
-0.00024;0.071
0.04;0
0.04008;0.009
-0.004;0
0.07656;0
-0.00072;0
0.00248;0
0.00032;0
-0.0032;0
0.00032;0
-0.00184;0
0.00064;0
0.00152;0
0.00024;-0.06
-0.04;0
0.04;0
0.00208;0.13
0.04;0
-0.04008;0
0.00248;0
-0.00312;0
0.0024;0
0.00056;0.03
0.04;-0.1596
-0.08;0.1596
0.04;0.06
0.04;0
0.03992;0.12
0.04;0
-0.00424;0
-0.00224;0
0.0012;0
-0.00128;0
0.00184;0.1
0.04;0
-0.00256;0
0.0016;0
7.99999999996359e-05;0
0.00056;0
0.00144;0
-0.00136;0
-0.00096;0
-0.00024;0
0.00032;0
0.0012;0
-0.00096;0
0.00032;0
-0.00016;0
0.00072;0
-0.00024;0
-0.00064;0
-0.00032;0
-0.00112;-0.012
-0.04;0
0.00208;0
0.00088;0
0.00168;0
8.00000000005241e-05;0
-0.00168;-0.088
-0.04;0.1
0.08;0
-0.00504;-0.048
-0.04;0
0.00592;-0.312
-0.04;0
0.006;0
7.99999999996359e-05;0
-0.00088;0
0.00024;0
-0.00216;0
0.0004;0
0.0004;0
0.0012;0
0.00016;0
-8.00000000005241e-05;0
0.00176;0
0.00112;0
0.00032;0
-0.00048;0
0.00024;0
-0.00048;0
0.00016;0
0.00016;0
0;0
-8.00000000005241e-05;0
-0.00016;0.23
0.04;0
-0.07984;0
0.00688;0
0.00248;0
0.00216;0
0.00032;0
0.00056;0.064
0.04;0
-0.00184;0
-8.000000000008e-05;0
0.00024;0
0.0024;0
-0.00088;0
0.00072;0
0.00168;0
-0.00264;0
-0.00064;-0.13
-0.04;0
0.00656;0
0.00264;0
0.00328;0
0.00048;0
0.00144;0
0.00112;0.066
0.04;0
-0.0044;0
-0.00432;0
8.000000000008e-05;0.06
0.04;0
-0.00144;0
8.00000000005241e-05;0
-0.00032;0
-7.99999999996359e-05;0
0.00152;0
0.0008;0.04
0.04;0
-0.00336;0
-0.00184;0
0.0028;0
0.0004;-0.2059
-0.04;0
0.00424;0
0.00096;0
0.00104;0
8.00000000005241e-05;0.1759
0.04;0
-0.04;0.01
0.04;0
-0.00368;0
-0.00048;-0.16
-0.04;0
0.00416;0
0.00168;0
-0.00048;0
-0.0008;0
-0.00096;0
-0.00144;0
0.00128;0
-0.00024;0
-0.00088;0
0.00064;0
0.00056;0.22
0.04;0
-0.00112;0.03
0.04;-0.02
-0.04;0
-0.07728;-0.13
-0.04;0
0.00368;0
0.00384;0
0.002;0
0.00272;0
0.0012;0.06
0.04;0
0.04;0
-0.00536;0
0.00128;0
0.00232;0
-0.00264;0
0.00024;0
0.00072;0.06
0.04;0
-0.0036;0
-0.03992;0
0.00352;0
0.0028;0
0.00056;0
-7.99999999996359e-05;0
7.99999999996359e-05;0
-0.00088;-0.04
-0.04;0
0.00504;-0.08
-0.04;0
0;0
0.00752;0
0.00416;0
7.99999999996359e-05;0
-0.0012;0
-0.0008;0
-0.00064;0
0.0004;0.119
0.04;0
-0.00216;0
0.00264;0
-0.0008;0
0.00064;0
-0.00096;-0.0127
-0.04;0.0137
0.08;0
0.04;0
-0.00576;0
-0.04;0
0.0016;0
0.0012;0
0.00352;0
0.00104;0
0.00032;0
0.00064;0
7.99999999996359e-05;0
0;0
-0.00016;0
-0.00016;0
0.00032;0
-0.0004;0
-0.00128;0
-0.00192;0
0.00024;0
0.00024;0
-7.99999999996359e-05;0
0.00032;0
-0.00056;0
-0.0012;-0.04
-0.04;0
0.00168;0
0.00304;0
-0.0004;0.06
0.04;0
0;0
0.00016;0.01
0.04;0
-0.00216;0
-0.00056;0
0.03976;0
-0.00264;0.1579
0.04;0.0421
0.08;-0.068
-0.04;0
-0.03992;0
0.00512;0
0.00336;0
0.00064;0
0.00112;0
0.00328;0
0.00064;0
0.00208;0
-0.00088;0
0.0004;0
0.00024;0
-0.00032;0
-0.00056;0
0.0008;0
0.00016;0
-0.00032;0.108
0.04;0
-0.00208;0
-0.0028;0.13
0.04;0
-0.12;-0.17
0.00416;0
-0.04008;0.1728
0.04;-0.0928
0.04;0.1
0.04;0
-0.00344;0
0.00088;-0.01
-0.04;0.02
0.04096;0.0684
0.04;0.0416
0.08;0.01
0;0.01
0.04;-9.99999999748979e-05
-0.04;0
-0.0024;0
0.00256;0
-0.00128;0
-0.00064;0
-0.0004;0
-0.00152;0
-7.99999999996359e-05;0
-0.0016;0
0.00136;0
-0.00104;0
0.0016;0
0.00136;0
-0.00112;0
0.00048;0
-0.00104;0
-0.00048;0
-0.00048;0
-0.00112;-0.1299
-0.04;0
-0.0004;0
0.00048;0
0.00096;0
0.0004;0
0.00112;0
-0.00112;0
0.00032;0
-0.0004;0
-0.00072;0
0.00128;0
0.00088;0
0.00024;0
-0.00032;0
0.00024;0
-0.00056;0
0;0
-0.0004;0
-0.04;0
0.00504;0
0.00072;0
0.0004;0
0.00016;0
-0.00072;0
0.00096;0
7.99999999996359e-05;0
-0.00144;0
0.04;0
-0.0008;0
-0.00048;0
0.0016;0.01
0.04;0
-0.00224;0
-0.00104;0
-0.00072;0
-0.00256;0
0.00176;0
0.00048;0.02
0.04;0
-0.00128;0
0.00104;0
0.00016;0
-0.00072;0
-0.00024;0
0.0788;0
-0.00432;-0.0699
-0.04;0
0.0032;-0.7806
-0.04;0.9553
0.04;0
0.00072;-0.1248
-0.04;0
-0.1564;0
0.00808;0
0.00264;0
-0.00144;0
-0.0004;0
0.00104;0
-0.00032;0
0.00024;0
-0.00056;0
-0.00016;0
-0.00096;0
-0.00072;0
0.00104;0
-0.00032;0
-0.00032;0
0;0
0;0
-0.0004;0
7.99999999996359e-05;0
-0.00056;0
0.00048;0
0.00024;0
0.00056;0.01
0.04;-0.11
-0.12;0
0;0
0.00952;0
0.00272;-0.1181
-0.04;0
0.0036;0
0.00176;0
0.00112;0
-0.00168;0
0.0012;0
-0.00192;0.1631
0.04;0
-0.00352;0
-0.00136;0
-0.00032;0.03
0.04;0
-0.00392;0
-0.00072;0
-0.00368;0.105
0.04;0
-0.07992;-0.11
0.04;0
-0.04;-0.02
0.04;0
-0.00304;0
-0.00144;0
0.00256;0
-0.004;0
-0.00184;0
-8.00000000005241e-05;0
0.00064;0
-0.00056;0
0.00024;0
0.0004;0
-0.00016;0
-0.00208;0
0.00136;0
0.00064;0
-0.00064;0
-0.0008;0
0.00032;0
0;0
0.00096;0
-0.00056;0
0.00056;0
0.00056;0
-0.00032;0
-0.00048;0
-0.00096;0
-0.00064;0
0.00024;0
-0.00032;0
-7.99999999996359e-05;0
0.00016;0
0.00024;0
0.0004;0
7.99999999996359e-05;0
-7.99999999996359e-05;0
0.0004;-0.09
-0.04;0
0.00536;0.08
0.04;0
-0.00592;0
-0.00216;0
0.00136;0
-0.00056;0
0.00016;0
-0.00024;0
-0.00112;0
0.0012;0
-0.00104;0
0.00232;0
0.00024;-0.04
-0.04;0
0.00264;0
0.00384;-0.02
-0.04;0
0.00472;0
0.00024;0
-0.00016;0
-0.00048;0
-0.00048;0
0.0008;0
0.00128;0
-0.00032;0
0.00024;0
-0.00176;0
0.00328;0
0.00128;0.01
0.04;0
0.04;0
-0.00216;0
-0.00016;0
-0.04;-0.03
-0.04;0
0.00472;0
0.00088;0
0.00112;0
0.0012;0.03
0.04;-0.062
-0.04;0.022
0.04;0
0.00024;0
7.99999999996359e-05;-0.04
-0.04;-0.01
-0.04;0
0.00672;0
0.00192;0
-0.00072;0
-0.00232;0
-7.99999999996359e-05;0
-0.0012;0
0.00048;0
0;0
-0.00104;0
0.00056;0
-0.00072;0
0.00024;0
0.0008;-0.21
-0.04;0
0.0048;0
0.00104;0
0.00072;0
-0.00208;0
0.00144;0
0.00112;-0.17
-0.04;0
0.00456;0
0.002;0
-0.0008;0
0.0008;0
-8.000000000008e-05;0
-0.00176;0
0.00016;0
0.00064;0
-7.99999999996359e-05;0
-0.00096;0
-0.00232;0
0.0004;0
8.000000000008e-05;0.146
0.04;0
-0.03984;0
-0.00192;0
0.0012;-0.0759
-0.00024;0
0.00248;0
-0.00056;0
-0.00016;0
-0.0004;0
0.00064;0
8.000000000008e-05;0
0.00016;0
0.00072;0
0.00016;0
0.0004;0
0.00064;0
-0.00024;0
-0.00032;0
0.0004;0
0.00144;0
-0.00032;0
-0.0004;0
7.99999999996359e-05;0
-0.00024;0
-8.000000000008e-05;0
-0.00048;0
0.00072;0
7.99999999996359e-05;0
0.00024;0
8.000000000008e-05;0
-0.00032;0
0.00056;0
-0.00016;0
-0.00024;0
0.00016;0
0.00024;0
0.00016;0
0.00016;0
0.00032;0
0.00016;0
-8.000000000008e-05;0
8.000000000008e-05;0
8.000000000008e-05;0.2299
0.04;0
-0.04;0
0.00208;0
0.00384;0
0.0028;0
-0.00168;0
0.0012;0
0.00096;0
-0.00064;0
0.00056;0
-8.000000000008e-05;0
-0.00048;0
0.00048;0
0.00064;0
0.00152;0
0.00144;0
0.00016;0.02
0.04;0
-0.0008;0
-0.00152;0
0.00128;0
0.00024;0
0.00136;0
0.00088;0
0.00104;0.06
0.04;0
-0.00224;0
-0.0024;0
0.00048;0
0.00032;0
-0.00128;0.03
0.04;0
-0.0016;0
-0.00112;0
