"V1","V2","V3","V4","V5"
"1",0.011,0.166,0.223,0.262,0.276
"2",0.04,0.165,0.243,0.269,0.285
"3",0.068,0.164,0.267,0.264,0.303
"4",0.081,0.197,0.279,0.291,0.307
"5",0.044,0.154,0.255,0.268,0.291
"6",0.054,0.176,0.246,0.286,0.296
"7",0.079,0.159,0.257,0.256,0.296
"8",0.076,0.194,0.277,0.288,0.306
"9",0.059,0.162,0.261,0.269,0.306
"10",0.081,0.175,0.267,0.267,0.301
"11",0.055,0.193,0.261,0.289,0.293
"12",0.081,0.2,0.285,0.293,0.307
"13",0.078,0.203,0.283,0.297,0.305
"14",0.081,0.202,0.281,0.288,0.305
"15",0.088,0.203,0.28,0.288,0.302
"16",0.082,0.205,0.293,0.296,0.309
"17",0.081,0.204,0.287,0.291,0.307
"18",0.081,0.201,0.282,0.292,0.306
"19",0.084,0.205,0.28,0.294,0.299
"20",0.086,0.213,0.301,0.291,0.31
